Parameter,Granularity,EM,EE,GL,NE,NW,SE,SW,WM,YH,UK
wealthparams_t2,REGIONAL,0.23,0.01,0.14,0.11,0.01,0,0.02,0.24,0.01,
wealthparams_t3,REGIONAL,9.78,10.14,10,9.4,9.7,10.35,10.1,9.78,9.62,
wealthparams_t4,REGIONAL,15.4,16.11,15.84,14.64,15.23,16.53,16.03,15.4,15.07,
wealthparams_t5,REGIONAL,1138468.88,1720328.61,1470710.6,727523.79,1025482.8,2168761.7,1639059,1133586.4,928780.55,
wealthparams_t6,REGIONAL,12.92,14.03,13.36,11.88,12.93,13.22,13.47,12.86,12.83,
wealthparams_t7,REGIONAL,1.6,0.55,1.19,3.17,1.25,2.51,1.2,1.61,1.24,
downpaymentparams_1,REGIONAL,0,0,0,0,0,0,0,0,0,
downpaymentparams_2,REGIONAL,1,1,1,1,1,1,1,1,1,
downpaymentparams_3,REGIONAL,2.26374319,1.90582903,1.916311,2.6282266,2.5004254,1.9011446,1.9148337,2.2819785,2.5164826,
downpaymentparams_4,REGIONAL,1.327343148,1.351727225,1.4780728,1.3062833,1.3214542,1.3703803,1.3372196,1.331342,1.3243991,
avgsoldpriceparams_1,REGIONAL,0,0,0,0,0,0,0,0,0,
avgsoldpriceparams_2,REGIONAL,45500,57500,292500,20500,60000,45000,31950,18000,19000,
rtiparams_1,REGIONAL,0.219298246,0.266222962,0.3977747,0.2604,0.2326044,0.3045685,0.2586207,0.2059282,0.3108108,
rtiparams_2,REGIONAL,0.029076935,0.021526223,0.0164492,0.02246,0.0269358,0.015356,0.0227495,0.0312283,0.0143515,
msaID,REGIONAL,EM,EE,GL,NE,NW,SE,SW,WM,YH,UK
